year,state,DEMOCRAT_%,REPUBLICAN_%,Net_Diff,Status
1976,ALABAMA,6.872153597650666,-6.3492152358667955,13.221368833517461,Lean
1976,ALASKA,-13.20198436931635,8.940489297505373,-22.142473666821722,Safe
1976,ARIZONA,-9.055137098571725,7.402049680866973,-16.4571867794387,Safe
1976,ARKANSAS,16.106612842838576,-14.059749488556688,30.166362331395263,Safe
1976,CALIFORNIA,-0.9002934507107319,0.784227857333375,-1.6845213080441068,Swing
1976,COLORADO,-6.245169288894581,5.063691679164217,-11.308860968058799,Lean
1976,CONNECTICUT,-2.1214143227844815,2.917358408745674,-5.038772731530155,Swing
1976,DELAWARE,3.1139734155303023,-2.3764658950844675,5.49043931061477,Swing
1976,FLORIDA,3.070990943960339,-2.321651614854586,5.392642558814925,Swing
1976,GEORGIA,18.083179572494146,-15.902380957930978,33.985560530425126,Safe
1976,HAWAII,1.7368840540646802,-0.9028024092338494,2.6396864632985295,Swing
1976,IDAHO,-11.736569653089862,10.916183280617487,-22.652752933707347,Safe
1976,ILLINOIS,-0.7475250179090176,1.112757436680456,-1.8602824545894736,Swing
1976,INDIANA,-3.154729493876002,4.358660372457379,-7.513389866333381,Lean
1976,IOWA,-0.39661874612885173,0.5053515561093735,-0.9019703022382253,Swing
1976,KANSAS,-3.9187216114373813,3.5237381318203864,-7.442459743257768,Lean
1976,KENTUCKY,3.8991339819032467,-3.3953378229110265,7.294471804814274,Lean
1976,LOUISIANA,2.9198809359227695,-2.975842948360258,5.8957238842830275,Swing
1976,MAINE,-0.7610386606285713,-0.033308076053056856,-0.7277305845755144,Swing
1976,MARYLAND,4.180304636613119,-1.999506022049935,6.179810658663055,Lean
1976,MASSACHUSETTS,7.256462938284858,-8.52237682251465,15.778839760799507,Safe
1976,MICHIGAN,-2.3900411684255274,2.8966649714682435,-5.286706139893771,Swing
1976,MINNESOTA,6.041186172048862,-6.942342765131499,12.98352893718036,Lean
1976,MISSISSIPPI,0.7718970376473788,-1.221923915347245,1.9938209529946238,Swing
1976,MISSOURI,2.2498703806624,-1.490550062577517,3.740420443239917,Swing
1976,MONTANA,-3.450928314985857,3.875900029988899,-7.326828344974756,Lean
1976,NEBRASKA,-10.405443346696458,10.239802164902322,-20.64524551159878,Safe
1976,NEVADA,-3.0453112487008607,1.201857351821367,-4.247168600522228,Swing
1976,NEW HAMPSHIRE,-5.382423186371893,5.7827390949075745,-11.165162281279468,Lean
1976,NEW JERSEY,-0.9312002529466901,1.1172548460029352,-2.048455098949625,Swing
1976,NEW MEXICO,-0.570710956426479,1.785811882614985,-2.356522839041464,Swing
1976,NEW YORK,-0.20428243112564082,-6.585532286540785,6.381249855415144,Lean
1976,NORTH CAROLINA,6.414071425662415,-4.7446840582132,11.158755483875616,Lean
1976,NORTH DAKOTA,-3.0850720992871117,2.7277620857608986,-5.81283418504801,Swing
1976,OHIO,0.0435713795709225,-0.29245453267537913,0.33602591224630163,Swing
1976,OKLAHOMA,-0.10789509659226426,0.9976900865307003,-1.1055851831229646,Swing
1976,OREGON,-1.2370525297534907,-1.1796926376532069,-0.057359892100283805,Swing
1976,PENNSYLVANIA,1.5405640639020501,-1.2318707855078048,2.772434849409855,Swing
1976,RHODE ISLAND,6.586889272536078,-4.819891488010125,11.406780760546203,Lean
1976,SOUTH CAROLINA,7.314402383000285,-5.834715055369427,13.149117438369712,Lean
1976,SOUTH DAKOTA,0.05700997674771835,1.4237041620639768,-1.3666941853162584,Swing
1976,TENNESSEE,7.085633020145421,-6.022323124351425,13.107956144496846,Lean
1976,TEXAS,2.2838415203942364,-0.9936625796724496,3.277504100066686,Swing
1976,UTAH,-15.20693654923509,13.470644453585368,-28.67758100282046,Safe
1976,VERMONT,-6.5510620410728135,5.623139706434788,-12.174201747507603,Lean
1976,VIRGINIA,-0.8968996546897479,0.3292353084505206,-1.2261349631402685,Swing
1976,WASHINGTON,-2.7408548463571716,1.0336638702074463,-3.774518716564618,Swing
1976,WEST VIRGINIA,9.21440335850907,-7.033604743945898,16.248008102454968,Safe
1976,WISCONSIN,0.6482482875884377,-1.1379887967065794,1.786237084295017,Swing
1976,WYOMING,-9.045849761663838,10.339496409077864,-19.385346170741702,Safe
1980,ALABAMA,8.23742629815738,-3.316015118940724,11.553441417098105,Lean
1980,ALASKA,-12.803530974071498,2.282061253294332,-15.08559222736583,Safe
1980,ARIZONA,-10.966749179718816,8.542713101126454,-19.50946228084527,Safe
1980,ARKANSAS,8.311197850399504,-3.931863055300422,12.243060905699926,Lean
1980,CALIFORNIA,-3.2919958588831233,0.6313676012644764,-3.9233634601475997,Swing
1980,COLORADO,-8.141400265109278,3.0027996669294343,-11.144199932038712,Lean
1980,CONNECTICUT,-0.6892271000994654,-3.9101782744886737,3.2209511743892083,Swing
1980,DELAWARE,5.662712213973781,-4.8590473445132565,10.521759558487037,Lean
1980,FLORIDA,-0.71121293887762,3.4530274247223436,-4.164240363599964,Swing
1980,GEORGIA,16.584672578219273,-11.098828691433333,27.683501269652606,Safe
1980,HAWAII,5.590685356088443,-9.165516396039042,14.756201752127485,Safe
1980,IDAHO,-14.020716976756475,14.389831487835302,-28.410548464591777,Safe
1980,ILLINOIS,2.504975415170352,-2.4200823873056665,4.925057802476019,Swing
1980,INDIANA,-1.5582403322477956,3.9391063895057976,-5.497346721753593,Swing
1980,IOWA,-0.6072697869073773,-0.7611334641662415,0.15386367725886418,Swing
1980,KANSAS,-5.923857307433206,5.7839251900524635,-11.70778249748567,Lean
