state,R2,start_year,start_diff,start_status,2020_diff,2020_status,change,abs_change,6th_ave_diff,7th_ave_diff,ROC,ROC_abs,category,6th status,7th status,frac,note
CONNECTICUT,0.775181837,1980,3.220951174,Swing,22.41197365,Safe,19.19102247,19.19102247,11.55014848,20.76391002,1.919102247,1.919102247,eastern blue bloc,blue,blue,0.092424897,
DELAWARE,0.771636872,1984,2.312898066,Swing,21.30648944,Safe,18.99359138,18.99359138,11.29033673,19.10673079,2.110399042,2.110399042,eastern blue bloc,blue,blue,0.110453173,
NEW HAMPSHIRE,0.770176687,1980,-16.53173984,Safe,9.689926194,Lean,26.22166604,26.22166604,-2.03163994,7.766990781,2.622166604,2.622166604,eastern blue bloc,purple,blue,0.337603929,
MONTANA,0.736512106,2008,-4.950674962,Swing,-14.03073946,Safe,-9.080064498,9.080064498,-7.32868646,-14.54262644,-3.026688166,3.026688166,red west,red,red,0.208125278,
LOUISIANA,0.725580197,1980,7.404586891,Lean,-16.27106519,Safe,-23.67565208,23.67565208,-3.458173984,-15.21686203,-2.367565208,2.367565208,inner south,red,red,0.155588268,
NEW JERSEY,0.71898173,1980,-0.560465227,Swing,18.27603331,Safe,18.83649854,18.83649854,8.506692116,18.9275954,1.883649854,1.883649854,eastern blue bloc,blue,blue,0.099518709,
NEW YORK,0.6933829,1980,14.31669218,Safe,25.26895111,Safe,10.95225893,10.95225893,22.21780182,27.24547554,1.095225893,1.095225893,eastern blue bloc,blue,blue,0.04019845,
RHODE ISLAND,0.6797343,2000,34.32957811,Safe,23.14417871,Safe,-11.1853994,11.1853994,24.7784998,22.06459373,-2.23707988,2.23707988,eastern blue bloc,blue,blue,0.101387767,
KANSAS,0.657186139,2008,-17.64697594,Safe,-12.31459888,Lean,5.33237706,5.33237706,-14.35620713,-13.72017514,1.77745902,1.77745902,red west,red,red,0.129550753,
NEBRASKA,0.635652108,1996,-23.95002253,Safe,-16.71917197,Safe,7.230850562,7.230850562,-20.95359012,-18.14565352,1.20514176,1.20514176,red west,red,red,0.0664149,
IDAHO,0.60812408,2000,-34.2786335,Safe,-28.43280226,Safe,5.845831239,5.845831239,-25.77491519,-27.36288056,1.169166248,1.169166248,red west,red,red,0.042728186,
MINNESOTA,0.564783646,1980,16.79760271,Safe,9.448517319,Lean,-7.34908539,7.34908539,12.35607658,8.222408929,-0.734908539,0.734908539,illi/minna,blue,blue,0.089378739,
MAINE,0.533547014,2004,16.44833031,Safe,11.31271165,Lean,-5.13561866,5.13561866,9.703282442,9.828853674,-1.283904665,1.283904665,eastern blue bloc,blue,blue,0.130626084,
FLORIDA,0.485422151,1984,-8.494863281,Lean,-1.020008479,Swing,7.474854803,7.474854803,-2.122137845,1.628912796,0.830539423,0.830539423,special case,purple,purple,0.509873472,*
MISSISSIPPI,0.481626546,1980,11.53056458,Lean,-14.2069877,Safe,-25.73755228,25.73755228,-8.068764558,-13.27838892,-2.573755228,2.573755228,inner south,red,red,0.193830384,
SOUTH CAROLINA,0.445896869,2008,-11.66377275,Lean,-9.338282001,Lean,2.325490748,2.325490748,-7.471597122,-9.063867608,0.775163583,0.775163583,inner south,red,red,0.085522386,
UTAH,0.435901547,2004,-38.08837429,Safe,-18.14543003,Safe,19.94294426,19.94294426,-32.19589611,-15.37425917,4.985736064,4.985736064,red west,red,red,0.324291142,red west
