year,state,DEMOCRAT,OTHER,REPUBLICAN,TOTAL,DEMOCRAT_%,REPUBLICAN_%,OTHER_%,Winner,Winner_%,Loser_%
1992,WEST VIRGINIA,331001.0,110702.0,241974.0,683677.0,0.4841482161898089,0.35393029164356854,0.16192149216662255,DEMOCRAT,0.4841482161898089,0.35393029164356854
1992,WISCONSIN,1041066.0,559143.0,930855.0,2531064.0,0.4113155574098482,0.36777220963199664,0.22091223295815515,DEMOCRAT,0.4113155574098482,0.36777220963199664
1992,WYOMING,68160.0,52377.0,79347.0,199884.0,0.34099777871165277,0.3969652398391067,0.26203698144924054,REPUBLICAN,0.3969652398391067,0.34099777871165277
1996,ALABAMA,662165.0,103140.0,769044.0,1534349.0,0.4315608769582409,0.5012184320516389,0.06722069099012024,REPUBLICAN,0.5012184320516389,0.4315608769582409
1996,ALASKA,80380.0,38494.0,122746.0,241620.0,0.33267113649532326,0.5080125817399221,0.15931628176475457,REPUBLICAN,0.5080125817399221,0.33267113649532326
1996,ARIZONA,653288.0,129044.0,622073.0,1404405.0,0.4651706594607681,0.4429441649666585,0.09188517557257343,DEMOCRAT,0.4651706594607681,0.4429441649666585
1996,ARKANSAS,475171.0,83675.0,325416.0,884262.0,0.5373644915194817,0.36800857664357395,0.09462693183694425,DEMOCRAT,0.5373644915194817,0.36800857664357395
1996,CALIFORNIA,5119835.0,1071253.0,3828381.0,10019469.0,0.5109886561852729,0.3820942008004616,0.10691714301426553,DEMOCRAT,0.5109886561852729,0.3820942008004616
1996,COLORADO,671152.0,147702.0,691848.0,1510702.0,0.44426498409348764,0.457964575409313,0.09777044049719931,REPUBLICAN,0.457964575409313,0.44426498409348764
1996,CONNECTICUT,735740.0,173765.0,483109.0,1392614.0,0.5283158147196567,0.34690804487101234,0.12477614040933094,DEMOCRAT,0.5283158147196567,0.34690804487101234
1996,DELAWARE,140355.0,31393.0,99062.0,270810.0,0.518278497839814,0.3657988995975038,0.11592260256268232,DEMOCRAT,0.518278497839814,0.3657988995975038
1996,DISTRICT OF COLUMBIA,158220.0,10167.0,17339.0,185726.0,0.8519001109160806,0.09335795742114728,0.05474193166277204,DEMOCRAT,0.8519001109160806,0.09335795742114728
1996,FLORIDA,2546870.0,511748.0,2244536.0,5303154.0,0.4802557119781926,0.42324548749668595,0.09649880052512147,DEMOCRAT,0.4802557119781926,0.42324548749668595
1996,GEORGIA,1053849.0,164207.0,1080843.0,2298899.0,0.4584146584952188,0.4701568011469838,0.07142854035779736,REPUBLICAN,0.4701568011469838,0.4584146584952188
1996,HAWAII,205012.0,41165.0,113943.0,360120.0,0.5692880151060757,0.3164028657114295,0.11430911918249473,DEMOCRAT,0.5692880151060757,0.3164028657114295
1996,IDAHO,165443.0,69673.0,256595.0,491711.0,0.3364638985094903,0.521841081448249,0.1416950200422606,REPUBLICAN,0.521841081448249,0.3364638985094903
1996,ILLINOIS,2341744.0,382626.0,1587021.0,4311391.0,0.5431527783028726,0.3680995298269166,0.0887476918702108,DEMOCRAT,0.5431527783028726,0.3680995298269166
1996,INDIANA,887424.0,241314.0,1006693.0,2135431.0,0.41557137645749265,0.4714238015651173,0.11300482197739005,REPUBLICAN,0.4714238015651173,0.41557137645749265
1996,IOWA,620258.0,121173.0,492644.0,1234075.0,0.5026096469015254,0.3992010210076373,0.09818933209083727,DEMOCRAT,0.5026096469015254,0.3992010210076373
1996,KANSAS,387659.0,103396.0,583245.0,1074300.0,0.3608479940426324,0.542907009215303,0.0962449967420646,REPUBLICAN,0.542907009215303,0.3608479940426324
1996,KENTUCKY,636614.0,128811.0,623283.0,1388708.0,0.4584217848532593,0.4488222146052302,0.09275600054151052,DEMOCRAT,0.4584217848532593,0.4488222146052302
1996,LOUISIANA,927837.0,143536.0,712586.0,1783959.0,0.5200999574541791,0.3994407943231879,0.08045924822263292,DEMOCRAT,0.5200999574541791,0.3994407943231879
1996,MAINE,312788.0,106731.0,186378.0,605897.0,0.5162395588689167,0.3076067384390416,0.17615370269204172,DEMOCRAT,0.5162395588689167,0.3076067384390416
1996,MARYLAND,966207.0,133133.0,681530.0,1780870.0,0.5425477435186173,0.38269497492798465,0.07475728155339806,DEMOCRAT,0.5425477435186173,0.38269497492798465
1996,MASSACHUSETTS,1571509.0,266892.0,718058.0,2556459.0,0.614720987115381,0.2808799202334166,0.10439909265120231,DEMOCRAT,0.614720987115381,0.2808799202334166
1996,MICHIGAN,1989653.0,377979.0,1481212.0,3848844.0,0.5169482057469723,0.3848459433533809,0.09820585089964676,DEMOCRAT,0.5169482057469723,0.3848459433533809
1996,MINNESOTA,1120380.0,305717.0,766395.0,2192492.0,0.5110075658200806,0.3495542971194422,0.1394381370604773,DEMOCRAT,0.5110075658200806,0.3495542971194422
1996,MISSISSIPPI,394022.0,59997.0,439838.0,893857.0,0.4408110022072882,0.4920675231049262,0.06712147468778563,REPUBLICAN,0.4920675231049262,0.4408110022072882
1996,MISSOURI,1025935.0,242114.0,890016.0,2158065.0,0.4753957827961623,0.41241389856190613,0.11219031864193155,DEMOCRAT,0.4753957827961623,0.41241389856190613
1996,MONTANA,167922.0,59509.0,179652.0,407083.0,0.41250064483164367,0.44131540742305625,0.1461839477453001,REPUBLICAN,0.44131540742305625,0.41250064483164367
1996,NEBRASKA,236761.0,77187.0,363467.0,677415.0,0.34950658016134867,0.5365499730593506,0.11394344677930072,REPUBLICAN,0.5365499730593506,0.34950658016134867
1996,NEVADA,203974.0,61061.0,199244.0,464279.0,0.43933496884416484,0.4291471292046377,0.13151790195119745,DEMOCRAT,0.43933496884416484,0.4291471292046377
1996,NEW HAMPSHIRE,246166.0,53945.0,196486.0,496597.0,0.4957057734944029,0.395664895277257,0.10862933122834008,DEMOCRAT,0.4957057734944029,0.395664895277257
1996,NEW JERSEY,1652361.0,320400.0,1103099.0,3075860.0,0.5372029286118354,0.3586310820388444,0.10416598934932018,DEMOCRAT,0.5372029286118354,0.3586310820388444
1996,NEW MEXICO,273495.0,49828.0,232751.0,556074.0,0.4918320223567367,0.4185611986893831,0.08960677895388024,DEMOCRAT,0.4918320223567367,0.4185611986893831
1996,NEW YORK,3649630.0,1050792.0,1738707.0,6439129.0,0.5667893903041855,0.27002207907311687,0.1631885306226976,DEMOCRAT,0.5667893903041855,0.27002207907311687
