year,state,county_name,DEMOCRAT,OTHER,REPUBLICAN,TOTAL,DEMOCRAT_%,REPUBLICAN_%,OTHER_%
2000,ALABAMA,AUTAUGA,4942,273,11993,17208,0.2871920037192004,0.6969432821943282,0.01586471408647141
2000,ALABAMA,BALDWIN,13997,1611,40872,56480,0.24782223796033995,0.7236543909348442,0.028523371104815863
2000,ALABAMA,BARBOUR,5188,111,5096,10395,0.4990860990860991,0.49023569023569025,0.010678210678210679
2000,ALABAMA,BIBB,2710,118,4273,7101,0.381636389240952,0.6017462329249401,0.016617377834107872
2000,ALABAMA,BLOUNT,4977,329,12667,17973,0.2769153730595894,0.704779391309186,0.018305235631224614
2000,ALABAMA,BULLOCK,3395,76,1433,4904,0.6922920065252854,0.29221044045676997,0.015497553017944535
2000,ALABAMA,BUTLER,3606,70,4127,7803,0.46212995001922336,0.5288991413558888,0.008970908624887863
2000,ALABAMA,CALHOUN,15781,822,22306,38909,0.40558739623223417,0.5732863861831453,0.021126217584620525
2000,ALABAMA,CHAMBERS,5616,181,6037,11834,0.47456481324995775,0.5101402737873922,0.015294912962649992
2000,ALABAMA,CHEROKEE,3497,172,4154,7823,0.4470152115556692,0.5309983382334142,0.02198645021091653
2000,ALABAMA,CHILTON,4806,220,10066,15092,0.3184468592631858,0.6669758812615956,0.014577259475218658
2000,ALABAMA,CHOCTAW,3707,67,3600,7374,0.5027122321670735,0.4882017900732303,0.00908597775969623
2000,ALABAMA,CLARKE,4679,85,5988,10752,0.43517485119047616,0.5569196428571429,0.007905505952380952
2000,ALABAMA,CLAY,2045,119,3719,5883,0.34761176270610233,0.6321604623491416,0.020227774944756076
2000,ALABAMA,CLEBURNE,1664,95,3333,5092,0.3267871170463472,0.6545561665357423,0.018656716417910446
2000,ALABAMA,COFFEE,5220,276,9938,15434,0.3382143319942983,0.6439030711416354,0.017882596864066347
2000,ALABAMA,COLBERT,10543,471,10518,21532,0.4896433215678989,0.4884822589634033,0.021874419468697753
2000,ALABAMA,CONECUH,2783,69,2699,5551,0.5013511079084849,0.4862186993334534,0.012430192758061611
2000,ALABAMA,COOSA,2104,81,2382,4567,0.46069629954017954,0.5215677687760018,0.0177359316838187
2000,ALABAMA,COVINGTON,4440,212,8961,13613,0.3261588187761698,0.6582678322192023,0.015573349004627928
2000,ALABAMA,CRENSHAW,1934,68,2793,4795,0.4033368091762252,0.5824817518248175,0.014181438998957248
2000,ALABAMA,CULLMAN,9758,610,19157,29525,0.3304995766299746,0.648839966130398,0.020660457239627436
2000,ALABAMA,DALE,4906,307,10593,15806,0.3103884600784512,0.6701885359989878,0.019423003922561053
2000,ALABAMA,DALLAS,10967,137,7360,18464,0.5939666377816292,0.3986135181975737,0.007419844020797227
2000,ALABAMA,DEKALB,7056,402,12827,20285,0.3478432339166872,0.6323391668720729,0.019817599211239833
2000,ALABAMA,ELMORE,6652,375,16777,23804,0.2794488321290539,0.7047975130230213,0.01575365484792472
2000,ALABAMA,ESCAMBIA,4523,162,6975,11660,0.3879073756432247,0.5981989708404802,0.013893653516295026
2000,ALABAMA,ETOWAH,17433,828,21087,39348,0.4430466605672461,0.5359103385178408,0.021043000914913082
2000,ALABAMA,FAYETTE,3064,162,4582,7808,0.39241803278688525,0.5868340163934426,0.02074795081967213
2000,ALABAMA,FRANKLIN,4793,191,6119,11103,0.43168513014500587,0.551112311987751,0.017202557867243087
2000,ALABAMA,GENEVA,2769,202,6588,9559,0.28967465216026783,0.6891934302751334,0.02113191756459881
2000,ALABAMA,GREENE,3504,42,850,4396,0.7970882620564149,0.19335759781619655,0.009554140127388535
2000,ALABAMA,HALE,4652,95,2984,7731,0.6017332815935843,0.3859785280041392,0.01228819040227655
2000,ALABAMA,HENRY,2782,96,4054,6932,0.4013271783035199,0.5848240046162724,0.013848817080207732
2000,ALABAMA,HOUSTON,9412,495,22150,32057,0.29360202139938235,0.6909567333187759,0.01544124528184172
2000,ALABAMA,JACKSON,9066,365,8475,17906,0.506310733832235,0.47330503741762536,0.020384228750139618
2000,ALABAMA,JEFFERSON,129889,5383,138491,273763,0.4744578339658756,0.5058791728611974,0.019662993172926947
2000,ALABAMA,LAMAR,2653,126,4470,7249,0.3659815146916816,0.6166367774865499,0.01738170782176852
2000,ALABAMA,LAUDERDALE,13875,784,17478,32137,0.4317453402620033,0.5438591032143635,0.024395556523633195
2000,ALABAMA,LAWRENCE,6296,218,5671,12185,0.5167008617152237,0.4654082888797702,0.017890849405006154
2000,ALABAMA,LEE,14574,1257,22433,38264,0.38088020071085094,0.5862690779845285,0.03285072130462053
2000,ALABAMA,LIMESTONE,8992,438,14204,23634,0.3804688161123805,0.600998561394601,0.018532622493018534
2000,ALABAMA,LOWNDES,4557,48,1638,6243,0.7299375300336377,0.2623738587217684,0.0076886112445939455
2000,ALABAMA,MACON,7665,75,1091,8831,0.8679651228626429,0.12354206771600046,0.008492809421356586
2000,ALABAMA,MADISON,48199,2968,62151,113318,0.42534284050195026,0.5484653806103179,0.02619177888773187
2000,ALABAMA,MARENGO,4841,77,4690,9608,0.5038509575353872,0.48813488759367196,0.008014154870940883
2000,ALABAMA,MARION,4600,246,6910,11756,0.39128955427015993,0.5877849608710446,0.020925484858795508
2000,ALABAMA,MARSHALL,10381,524,17084,27989,0.3708957090285469,0.6103826503269142,0.018721640644538927
2000,ALABAMA,MOBILE,58640,2943,78162,139745,0.4196214533614798,0.5593187591684855,0.021059787470034706
2000,ALABAMA,MONROE,3741,57,5153,8951,0.41794212937102,0.5756898670539604,0.006368003575019551
